fundamental_ID,Ticker,company_name,industry_gp,lastPrice,Change,Bid_Ask,volumePerDay,volume4wAvg,Open,dayRange,prevClose,lastTrade,oneWeek,oneMonth,YTD2023,oneYear,vsSectorOneYr,vsASX200OneYr,marketCap,ASXRank,sectorRank,sharesIssued,Sector,similarCompanies,EPS,DPS,bookValuePerShare,Breakdown,Recommendation,lastUpdated,PE
1,ARB,ARB CORPORATION LIMITED.,Automobiles & Components,31.26,1.02 (3.37%),$29.88 - $31.35,160245.0,245483.0,31.07,$30.56 - $31.45,$30.24,6:58pm 03/11 (AEDT),+3.30%,+1.20%,+21.78%,+11.96%,+5.78%,+10.21%,2570210986.0,"152 of 2,408",14 of 150,82220441.0,Consumer Cyclical,CTD / WEB / SUL,1.079,0.62,0.6,6 Buy · 5 Hold · 2 Sell,Hold,01/10/23,28.971
2,GUD,G.U.D. HOLDINGS LIMITED,Automobiles & Components,11.08,0.17 (1.56%),$10.77 - $11.35,366353.0,441797.0,10.95,$10.725 - $11.10,$10.91,6:58pm 03/11 (AEDT),+2.59%,-4.24%,+46.17%,+37.98%,+31.80%,+36.23%,1561113232.0,"234 of 2,408",23 of 150,140894696.0,Consumer Cyclical,SGR / LNW / SKC,0.693,0.39,0.526,11 Buy · 2 Hold · 0 Sell,Strong Buy,01/10/23,15.988
3,PWH,PWR HOLDINGS LIMITED,Automobiles & Components,10.12,0.07 (0.70%),$9.96 - $10.92,37398.0,127350.0,10.16,$10.06 - $10.22,$10.05,6:58pm 03/11 (AEDT),-0.88%,-8.08%,-6.04%,-3.98%,-10.17%,-5.74%,1016899406.0,"295 of 2,408",28 of 150,100484131.0,Consumer Cyclical,BGP / CTT / AX1,0.217,0.125,0.722,7 Buy · 4 Hold · 1 Sell,Buy,01/10/23,46.636
4,SFC,SCHAFFER CORPORATION LIMITED,Automobiles & Components,16.1,0.65 (-3.88%),$16.15 - $17.10,5570.0,758.0,16.75,$16.01 - $16.75,$16.75,6:58pm 03/11 (AEDT),-3.88%,-5.35%,-11.05%,-10.26%,-16.44%,-12.01%,218469868.0,"672 of 2,408",58 of 150,13569557.0,Consumer Cyclical,NDO / ALG / BST,1.811,0.9,3.324,nan,nan,nan,8.89
5,AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components,0.89,0.00 (0.00),$0.845 - $0.90,0.0,11146.0,,‐ - ‐,$0.89,6:58pm 03/11 (AEDT),+3.49%,-6.32%,-19.09%,-34.07%,-40.26%,-35.83%,72343803.0,"1,034 of 2,408",88 of 150,81285172.0,Consumer Cyclical,ISU / KED / CCX,0.084,0.0233,0.986,nan,nan,nan,10.595
6,VMT,VMOTO LIMITED,Automobiles & Components,0.155,0.005 (3.33%),$0.145 - $0.155,82262.0,432421.0,0.155,$0.145 - $0.155,$0.15,6:58pm 03/11 (AEDT),0.00,-32.61%,-60.76%,-62.65%,-68.84%,-64.41%,44987245.0,"1,217 of 2,408",96 of 150,290240290.0,Consumer Cyclical,DNA / BBT / MFD,0.025,0.0,0.202,nan,nan,nan,6.2
7,RPM,RPM AUTOMOTIVE GROUP LIMITED,Automobiles & Components,0.081,0.0005 (0.62%),$0.078 - $0.085,92000.0,26007.0,0.081,$0.081 - $0.082,$0.0805,6:58pm 03/11 (AEDT),+1.25%,-6.90%,-49.38%,-59.50%,-65.69%,-61.25%,15831293.0,"1,653 of 2,408",122 of 150,195448061.0,Consumer Cyclical,XRG / ABV / CLU,0.01,0.0,0.031,nan,nan,nan,8.1
8,ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,0.044,0.002 (4.76%),$0.043 - $0.046,231792.0,154298.0,0.042,$0.042 - $0.045,$0.042,6:58pm 03/11 (AEDT),-2.22%,0.00,+10.00%,+37.50%,+31.32%,+35.75%,16696546.0,"1,626 of 2,408",120 of 150,379466944.0,Consumer Cyclical,XRG / RPM / UCW,0.004,0.0,0.017,nan,nan,nan,11.0
9,DDT,DATADOT TECHNOLOGY LIMITED,Automobiles & Components,0.004,0.00 (0.00),$0.004 - $0.005,286645.0,1241239.0,0.004,$0.004 - $0.004,$0.004,6:58pm 03/11 (AEDT),0.00,+33.33%,-42.86%,-20.00%,-26.19%,-21.75%,4843811.0,"2,143 of 2,408",133 of 150,1210952783.0,Consumer Cyclical,MHI / SIX / AUA,0.0,0.0,0.008,nan,nan,nan,0.0
10,SIX,SPRINTEX LIMITED,Automobiles & Components,0.014,0.00 (0.00),$0.012 - $0.014,176.0,555355.0,0.014,$0.014 - $0.014,$0.014,6:58pm 03/11 (AEDT),-6.67%,-22.22%,-54.84%,-26.32%,-32.50%,-28.07%,4745972.0,"2,151 of 2,408",135 of 150,338998012.0,Consumer Cyclical,AUA / MHI / DDT,-0.02,0.0,0.003,nan,nan,nan,-0.7
